transaction_id,timestamp,account_number,amount,currency,transaction_type,description,status,channel
TX1000001,2025-04-05 18:51:52,22652335,50.00,GBP,PAYMENT,"Direct debit for British Gas",COMPLETED,STANDING_ORDER
TX1000002,2025-03-21 08:03:19,83077140,20.25,GBP,TRANSFER,"Subscription payment to KFC",PENDING,ONLINE
TX1000003,2025-03-20 17:42:49,72201506,150.36,GBP,FEE,"In-store purchase at HSBC Bank",COMPLETED,BRANCH
TX1000004,2025-03-31 02:02:44,42733345,677.05,GBP,INTEREST,"Subscription payment to Ryanair",COMPLETED,MOBILE
TX1000005,2025-04-02 21:10:21,30321939,953.65,AUD,TRANSFER,"Online purchase at Costa Coffee",COMPLETED,BRANCH
TX1000006,2025-03-19 02:06:32,21809131,35.88,JPY,DEPOSIT,"Bill payment to HSBC Bank",CANCELLED,BRANCH
TX1000007,2025-04-07 15:56:40,74737358,150.06,GBP,DEPOSIT,"Withdrawal for Nando's",CANCELLED,MOBILE
TX1000008,2025-03-15 05:07:23,46076743,225.81,GBP,WITHDRAWAL,"Faster payment to BT Group",COMPLETED,BRANCH
TX1000009,2025-03-17 17:35:18,41248628,203.41,GBP,PAYMENT,"Fee for service from Deliveroo",PENDING,TELEPHONE
TX1000010,2025-03-19 03:02:35,82381996,169.60,GBP,INTEREST,"Withdrawal for Starbucks",COMPLETED,BRANCH
TX1000011,2025-04-06 18:30:30,91340751,138.55,GBP,INTEREST,"Withdrawal for Sky UK",COMPLETED,TELEPHONE
TX1000012,2025-03-29 02:15:55,24788233,119.69,GBP,EXCHANGE,"Online purchase at Tesco",COMPLETED,DIRECT_DEBIT
TX1000013,2025-03-30 17:42:41,48647382,52.66,EUR,EXCHANGE,"Direct debit for British Gas",CANCELLED,BRANCH
TX1000014,2025-04-07 14:39:19,47113684,43.05,CHF,TRANSFER,"Bill payment to Virgin Media",FAILED,ATM
TX1000015,2025-03-18 18:00:54,53582239,88.53,JPY,EXCHANGE,"Faster payment to Just Eat",COMPLETED,STANDING_ORDER
TX1000016,2025-03-13 23:07:18,70367998,30.18,GBP,PAYMENT,"Online purchase at Sainsbury's",COMPLETED,STANDING_ORDER
TX1000017,2025-03-31 03:30:59,68420158,287.82,GBP,DEPOSIT,"Withdrawal for NatWest Bank",COMPLETED,BRANCH
TX1000018,2025-04-01 12:16:46,94032540,44.24,GBP,WITHDRAWAL,"Direct debit for KFC",COMPLETED,ONLINE
TX1000019,2025-03-21 01:13:57,26098682,193.60,GBP,FEE,"Payment to KFC",CANCELLED,BRANCH
TX1000020,2025-03-13 16:37:39,71187088,120.65,GBP,WITHDRAWAL,"Transfer to Thames Water",FAILED,BRANCH
TX1000021,2025-03-18 12:34:41,72840780,140.11,GBP,FEE,"Direct debit for Nando's",COMPLETED,MOBILE
TX1000022,2025-03-11 12:44:52,49169027,761.84,GBP,INTEREST,"Fee for service from Netflix",COMPLETED,STANDING_ORDER
TX1000023,2025-03-28 21:51:58,46865987,23.00,EUR,PAYMENT,"Online purchase at Uber",COMPLETED,ATM
TX1000024,2025-03-22 12:30:27,71051809,334.42,USD,WITHDRAWAL,"Withdrawal for EDF Energy",COMPLETED,ATM
TX1000025,2025-03-14 09:33:24,23361823,379.01,GBP,PAYMENT,"Withdrawal for Netflix",PENDING,ONLINE
TX1000026,2025-04-06 20:52:08,13897794,137.59,JPY,EXCHANGE,"Standing order to Pret A Manger",PENDING,MOBILE
TX1000027,2025-04-03 11:23:26,97466192,85.34,EUR,WITHDRAWAL,"Deposit from Uber",COMPLETED,DIRECT_DEBIT
TX1000028,2025-03-23 22:53:12,10952444,453.19,JPY,DEPOSIT,"Online purchase at John Lewis",COMPLETED,TELEPHONE
TX1000029,2025-03-14 22:55:48,76189552,148.81,GBP,INTEREST,"International transfer to Starbucks",COMPLETED,ONLINE
TX1000030,2025-03-27 19:46:55,93483308,66.81,AUD,DEPOSIT,"International transfer to Sainsbury's",COMPLETED,MOBILE
TX1000031,2025-03-18 03:40:38,91944149,147.51,GBP,WITHDRAWAL,"In-store purchase at John Lewis",FAILED,BRANCH
TX1000032,2025-03-18 04:25:58,60437932,344.90,GBP,EXCHANGE,"Transfer to Barclays Bank",PENDING,MOBILE
TX1000033,2025-03-13 06:22:29,57816976,179.47,GBP,INTEREST,"Subscription payment to EDF Energy",COMPLETED,ONLINE
TX1000034,2025-03-31 20:56:56,48702719,273.29,GBP,FEE,"Direct debit for KFC",FAILED,BRANCH
TX1000035,2025-04-06 17:11:31,65915460,31.83,CAD,PAYMENT,"Direct debit for Transport for London",COMPLETED,ONLINE
